nom,description,address,latitude,longitude,categorie,theme,transport
Mosquée Ketchaoua,"La mosquée Ketchaoua est un monument historique situé dans la Casbah d'Alger. Elle est connue pour son architecture ottomane et sa magnifique décoration intérieure.","Alger, Algérie",36.7623,3.0588,Religieux,Architecture,"bus"
Vallée du M'zab,"La vallée du M'zab est une vallée pittoresque dans le Sahara central, inscrite au patrimoine mondial de l'UNESCO. Elle abrite cinq ksour (villages fortifiés) traditionnels, offrant un aperçu de la culture et de l'architecture berbère.","Ghardaïa, Algérie",32.4902,3.6772,Patrimoine mondial,Architecture, Culture,"car"
Musée National des Beaux-Arts,"Le Musée National des Beaux-Arts est un musée d'art situé à Alger. Il abrite une vaste collection d'œuvres d'art, notamment des peintures, des sculptures et des céramiques, représentant l'histoire artistique de l'Algérie.","Alger, Algérie",36.7535,3.0577,Musée,Art, Culture,"bus"
Timgad,"Timgad est une ancienne colonie romaine bien préservée, également connue sous le nom de Thamugadi. Elle offre un aperçu de l'architecture romaine, avec des ruines de temples, de théâtres, de thermes et de maisons.","Timgad, Algérie",35.4925,6.4760,Archéologie,Histoire,"car"
Parc National de Chrea,"Le parc national de Chrea est une réserve naturelle située dans les montagnes de l'Atlas blidéen. Il est réputé pour sa biodiversité, ses paysages montagneux et ses sentiers de randonnée.","Blida, Algérie",36.4522,2.9439,Parc national,Nature, Randonnée,"car"
Site Archéologique de Djemila,"Le site archéologique de Djemila est une ancienne ville romaine bien préservée. Il comprend des vestiges de temples, de théâtres, de maisons et de thermes, témoignant de l'architecture romaine en Algérie.","Djemila, Algérie",36.3224,5.7345,Archéologie,Histoire,"car"
Parc National de Tlemcen,"Le parc national de Tlemcen est un parc naturel situé dans les montagnes de Tlemcen. Il abrite une variété d'espèces végétales et animales, ainsi que des cascades et des sentiers de randonnée.","Tlemcen, Algérie",34.9031,-1.3256,Parc national,Nature, Randonnée,"car"
Casbah d'Alger,"La Casbah est un quartier historique à Alger, connu pour ses ruelles étroites, ses maisons traditionnelles et son ambiance vibrante.","Alger, Algérie",36.7589,3.0408,Historique,"Architecture, Patrimoine culturel","bus"
Grottes de Tassili n'Ajjer,"Les grottes de Tassili n'Ajjer sont une collection remarquable d'art rupestre et de peintures rupestres, offrant des informations sur les civilisations anciennes.","Djanet, Algérie",24.6899,10.9806,"Attraction culturelle","Archéologie, Histoire","car"
Plages d'Oran,"Oran est réputée pour ses magnifiques plages le long de la côte méditerranéenne. Les visiteurs peuvent profiter du bronzage, de la baignade et de diverses activités nautiques sur des sites tels que Les Andalouses et Cap Falcon.","Oran, Algérie",35.6990,-0.6461,Plages,"Loisirs, Détente","bus"
Montagnes de Kabylie,"Les montagnes de Kabylie offrent des paysages magnifiques, des villages pittoresques et des opportunités de randonnée et de découverte de la culture berbère. C'est une destination prisée des amoureux de la nature et des passionnés de plein air.","Kabylie, Algérie",36.4957,4.1991,"Massif montagneux","Nature, Aventure","car"
Corniche d'Annaba,"La corniche d'Annaba est une promenade côtière pittoresque à Annaba, bordée de palmiers, de restaurants et de cafés. Elle offre une vue panoramique sur la mer Méditerranée et est un lieu apprécié pour les promenades et la détente.","Annaba, Algérie",36.8980,7.7499,Monument,"Vues panoramiques, Loisirs","bus"
Musée de Tizi Ouzou,"Le musée de Tizi Ouzou est une institution culturelle à Tizi Ouzou, présentant l'histoire, l'art et les traditions de la région de Kabylie. Les visiteurs peuvent explorer des expositions mettant en avant des artefacts anciens et des œuvres contemporaines.","Tizi Ouzou, Algérie",36.7117,4.0486,Musée,"Art, Culture","bus"
Djurdjura National Park,"Le parc national de Djurdjura est une réserve naturelle dans les montagnes de Djurdjura. Il offre des paysages époustouflants, des sentiers de randonnée, ainsi que des opportunités d'observation de la faune et de la flore.","Bouira, Algérie",36.3645,4.1416,Parc national,"Nature, Randonnée","car"
